1단계	2단계	사용자	상황	어떻게	결과	US ID
커뮤니티	댓글 수정	댓글을 작성한 사용자	작성한 댓글의 내용을 수정하고 싶음	내 댓글 수정 기능을 선택하고 내용을 변경한다	수정한 내용이 댓글에 반영된다	COMM-12
커뮤니티	댓글 삭제	댓글을 작성한 사용자	작성한 댓글을 삭제하고 싶음	내 댓글의 삭제 기능을 선택한다	선택한 댓글이 게시물에서 삭제된다	COMM-13
커뮤니티	대댓글 작성	커뮤니티 사용자	다른 사용자의 댓글에 답변하고 싶음	댓글을 선택하고 대댓글을 작성한다	작성한 대댓글이 해당 댓글에 등록된다	COMM-14
커뮤니티	대댓글 수정	대댓글을 작성한 사용자	작성한 대댓글을 수정하고 싶음	내 대댓글 수정 기능을 선택하고 내용을 변경한다	수정한 내용이 대댓글에 반영된다	COMM-15
커뮤니티	대댓글 삭제	대댓글을 작성한 사용자	작성한 대댓글을 삭제하고 싶음	내 대댓글의 삭제 기능을 선택한다	선택한 대댓글이 게시물에서 삭제된다	COMM-16
커뮤니티	원본이 삭제된 게시물 조회	커뮤니티 사용자	공유된 코스나 아카이브가 삭제된 게시물을 열람함	해당 게시물을 조회한다	삭제된 기록임을 안내받고 게시물 본문과 댓글은 그대로 확인할 수 있다	COMM-17
커뮤니티	댓글·대댓글 신고	커뮤니티 사용자	부적절한 댓글이나 대댓글을 발견해 운영자에게 알리고 싶음	신고 사유를 선택하고 필요하면 설명을 덧붙여 제출한다	해당 댓글 또는 대댓글이 신고 처리된다	COMM-18
커뮤니티	게시물 좋아요 취소	커뮤니티 사용자	좋아요를 누른 게시물을 목록에서 빼고 싶음	좋아요한 게시물에서 좋아요 버튼을 다시 누른다	게시물의 좋아요 수가 감소하고 나의 좋아요 목록에서 제거된다	COMM-19
커뮤니티	작성자 프로필 조회	커뮤니티 사용자	마음에 든 기록을 올린 사람의 다른 기록도 보고 싶음	게시물에서 작성자를 선택한다	작성자의 닉네임과 공개된 게시물 목록을 확인할 수 있다	COMM-20
알림	알림 목록	여행자	내가 받은 알림을 확인하고 싶음	알림 메뉴에 진입한다	최근에 받은 알림 목록이 표시된다	NOTI-01
알림	공동편집 초대 알림	여행 동행자	다른 사용자가 공동 편집에 초대했음을 알고 싶음	공동 편집 초대를 받는다	공동 편집 초대 알림이 표시되고 해당 아카이브에 참여할 수 있다	NOTI-02
알림	알림 설정	여행자	받고 싶은 알림만 관리하고 싶음	알림 설정에서 항목을 변경한다	선택한 알림 수신 설정이 저장된다. 단, 제재 알림은 끌 수 없다	NOTI-03
알림	알림 읽음 처리	여행자	확인한 알림을 안 읽은 것과 구분하고 싶음	알림을 선택하거나 모두 읽음을 누른다	해당 알림이 읽음 상태가 되고 안 읽은 알림 개수가 줄어든다	NOTI-04
알림	경고 알림	여행자	내 계정에 경고가 적용됐음을 알고 싶음	경고가 처리되면 알림을 받고 알림 목록에서 확인한다	경고 사유와 누적 횟수, 차단 기준을 확인할 수 있다	NOTI-05
